city,state_id,state_name,country
Fargo,ND,North Dakota,United States
Gulfport,MS,Mississippi,United States
Bremerton,WA,Washington,United States
Green Bay,WI,Wisconsin,United States
Enterprise,NV,Nevada,United States
Hialeah,FL,Florida,United States
Deltona,FL,Florida,United States
San Bernardino,CA,California,United States
Gainesville,FL,Florida,United States
Spring Valley,NV,Nevada,United States
Tacoma,WA,Washington,United States
Roanoke,VA,Virginia,United States
Brownsville,TX,Texas,United States
College Station,TX,Texas,United States
Olympia,WA,Washington,United States
Clarksville,TN,Tennessee,United States
Yonkers,NY,New York,United States
Moreno Valley,CA,California,United States
Thousand Oaks,CA,California,United States
Portland,ME,Maine,United States
Fontana,CA,California,United States
Hickory,NC,North Carolina,United States
Amarillo,TX,Texas,United States
Sioux Falls,SD,South Dakota,United States
Evansville,IN,Indiana,United States
Huntington,WV,West Virginia,United States
Waterbury,CT,Connecticut,United States
Frisco,TX,Texas,United States
Lorain,OH,Ohio,United States
Kalamazoo,MI,Michigan,United States
Galveston,TX,Texas,United States
Spartanburg,SC,South Carolina,United States
Santa Barbara,CA,California,United States
Sunrise Manor,NV,Nevada,United States
Huntington Beach,CA,California,United States
Grand Prairie,TX,Texas,United States
Overland Park,KS,Kansas,United States
McKinney,TX,Texas,United States
Waco,TX,Texas,United States
Hagerstown,MD,Maryland,United States
Glendale,CA,California,United States
Nampa,ID,Idaho,United States
Peoria,AZ,Arizona,United States
Cedar Rapids,IA,Iowa,United States
Vancouver,WA,Washington,United States
Paradise,NV,Nevada,United States
Ocala,FL,Florida,United States
Erie,PA,Pennsylvania,United States
Newport News,VA,Virginia,United States
Frederick,MD,Maryland,United States
Murfreesboro,TN,Tennessee,United States
Fort Lauderdale,FL,Florida,United States
Aurora,IL,Illinois,United States
Tempe,AZ,Arizona,United States
Danbury,CT,Connecticut,United States
Spring Hill,FL,Florida,United States
Gastonia,NC,North Carolina,United States
Salinas,CA,California,United States
Fredericksburg,VA,Virginia,United States
Ontario,CA,California,United States
Elk Grove,CA,California,United States
Gainesville,GA,Georgia,United States
Cary,NC,North Carolina,United States
Rancho Cucamonga,CA,California,United States
Oceanside,CA,California,United States
Garden Grove,CA,California,United States
Lancaster,CA,California,United States
Hemet,CA,California,United States
Pembroke Pines,FL,Florida,United States
Panama City,FL,Florida,United States
Vallejo,CA,California,United States
Manchester,NH,New Hampshire,United States
Medford,OR,Oregon,United States
Bayamón,PR,Puerto Rico,United States
Mauldin,SC,South Carolina,United States
Santa Cruz,CA,California,United States
Palmdale,CA,California,United States
Norwich,CT,Connecticut,United States
Muskegon,MI,Michigan,United States
Leesburg,FL,Florida,United States
High Point,NC,North Carolina,United States
Tuscaloosa,AL,Alabama,United States
Visalia,CA,California,United States
Marysville,WA,Washington,United States
